name,addr,size,mode,type
keyscan_keystuckCheckRowGpios,75980,54,THUMB_32,FUNC
rfm_cal_pwrControlInit,214268,68,THUMB_32,FUNC
Get_TempertureIndex,491504,32,THUMB_32,FUNC
mpaf_transAclAdapter,620296,58,THUMB_32,FUNC
bcsulp_encryptTxBuffer,293294,52,THUMB_32,FUNC
keyscan_reset,76088,60,THUMB_32,FUNC
rfm_switchRfmRegs,214374,42,THUMB_32,FUNC
tca_enableControl_fast,491606,46,THUMB_32,FUNC
mpaf_tranChanConfig,620642,74,THUMB_32,FUNC
lechan2_setChanInitChan2Bit,293412,38,THUMB_32,FUNC
keyscan_turnOff,76148,64,THUMB_32,FUNC
findTargetInList,214696,48,THUMB_32,FUNC
get_pad_reg_adr,491794,62,THUMB_32,FUNC
"_config_VS_SetEEPROMEntryUse, _config_VS_SetEEPROMEntryUse",621458,58,THUMB_32,FUNC
lechan2_perm,293488,64,THUMB_32,FUNC
_keyscan_hwResetOnce,77030,34,THUMB_32,FUNC
data_patch_installPatchEntry,215250,52,THUMB_32,FUNC
get_rf_bin_index,491856,160,THUMB_32,FUNC
_config_VS_GetEEPROMEntryUse,621750,72,THUMB_32,FUNC
lechan2_hopDataChannel,293870,52,THUMB_32,FUNC
mia_init,77706,94,THUMB_32,FUNC
patch_installPatchEntry,215302,58,THUMB_32,FUNC
bignum_xor,495308,40,THUMB_32,FUNC
_config_VS_findMoveDest,621822,74,THUMB_32,FUNC
diag_getByteCount,294176,86,THUMB_32,FUNC
mia_enableKeyscanPriorToHidOff,78268,58,THUMB_32,FUNC
data_patch_uninstallPatchEntry,215360,36,THUMB_32,FUNC
bignum_lshift,495348,120,THUMB_32,FUNC
_config_VS_AddItemPrepAddHoleInfo,624958,64,THUMB_32,FUNC
_ll_shift_l,294968,38,THUMB_32,FUNC
mia_turnOffLhlLpoIfPossible,78326,78,THUMB_32,FUNC
patch_swapPatchEntry,215426,58,THUMB_32,FUNC
bignum_bits,495494,64,THUMB_32,FUNC
debuguart_Write,626920,42,THUMB_32,FUNC
_tx_semaphore_put,295124,88,THUMB_32,FUNC
quad_configurePortPins,79870,262,THUMB_32,FUNC
_patch_generateBranchWordInstruction,215484,84,THUMB_32,FUNC
sha1_round,496264,74,THUMB_32,FUNC
